Algorithm,Experiment,VMid,RT,Cost,Power
LBA-HB,0,0,0.000,0.000,0.000
LBA-HB,0,1,2.000,0.600,3.800
LBA-HB,0,2,1.333,0.900,9.488
LBA-HB,0,3,0.750,0.900,15.150
LBA-HB,0,4,0.000,0.000,0.000
LBA-HB,0,5,2.000,0.600,3.800
LBA-HB,0,6,1.333,0.900,9.488
LBA-HB,0,7,0.750,0.900,15.150
LBA-HB,0,8,0.000,0.000,0.000
LBA-HB,0,9,2.000,0.600,3.800
LBA-HB,0,10,1.333,0.900,9.488
LBA-HB,0,11,0.750,0.900,15.150
LBA-HB,0,12,0.000,0.000,0.000
LBA-HB,0,13,2.000,0.600,3.800
LBA-HB,0,14,1.333,0.900,9.488
LBA-HB,0,15,0.750,0.900,15.150
LBA-HB,0,16,0.000,0.000,0.000
LBA-HB,0,17,2.000,0.600,3.800
LBA-HB,0,18,1.333,0.900,9.488
LBA-HB,0,19,0.750,0.900,15.150
LBA-HB,0,20,0.000,0.000,0.000
LBA-HB,0,21,2.000,0.600,3.800
LBA-HB,0,22,1.333,0.900,9.488
LBA-HB,0,23,0.750,0.900,15.150
LBA-HB,0,24,0.000,0.000,0.000
LBA-HB,0,25,2.000,0.600,3.800
LBA-HB,0,26,1.333,0.900,9.488
LBA-HB,0,27,0.750,0.900,15.150
LBA-HB,0,28,0.000,0.000,0.000
LBA-HB,0,29,2.000,0.600,3.800
LBA-HB,0,30,1.333,0.900,9.488
LBA-HB,0,31,0.750,0.900,15.150
LBA-HB,0,32,0.000,0.000,0.000
LBA-HB,0,33,2.000,0.600,3.800
LBA-HB,0,34,1.333,0.900,9.488
LBA-HB,0,35,0.750,0.900,15.150
LBA-HB,0,36,0.000,0.000,0.000
LBA-HB,0,37,2.000,0.600,3.800
LBA-HB,0,38,1.333,0.900,9.488
LBA-HB,0,39,0.750,0.900,15.150
LBA-HB,0,40,0.000,0.000,0.000
LBA-HB,0,41,2.000,0.600,3.800
LBA-HB,0,42,1.333,0.900,9.488
LBA-HB,0,43,0.750,0.900,15.150
LBA-HB,0,44,0.000,0.000,0.000
LBA-HB,0,45,3.000,0.900,5.700
LBA-HB,0,46,1.333,0.900,9.488
LBA-HB,0,48,0.000,0.000,0.000
LBA-HB,0,49,3.000,0.900,5.700
LBA-HB,0,47,0.750,0.900,15.150
LBA-HB,1,0,0.000,0.000,0.000
LBA-HB,1,1,5.000,1.500,9.500
LBA-HB,1,2,2.222,1.500,15.813
LBA-HB,1,3,1.500,1.800,30.300
LBA-HB,1,4,0.000,0.000,0.000
LBA-HB,1,5,5.000,1.500,9.500
LBA-HB,1,6,2.222,1.500,15.813
LBA-HB,1,7,1.500,1.800,30.300
LBA-HB,1,8,0.000,0.000,0.000
LBA-HB,1,9,5.000,1.500,9.500
LBA-HB,1,10,2.222,1.500,15.813
LBA-HB,1,11,1.500,1.800,30.300
LBA-HB,1,12,0.000,0.000,0.000
LBA-HB,1,13,5.000,1.500,9.500
LBA-HB,1,14,2.222,1.500,15.813
