type,experiment_number,VM_ID,VM_exTime,VM_costPerStorage,VM_powerCompsuption
FUZZY,0,0,4.000,0.300,0.950
FUZZY,0,1,1.000,0.300,1.900
FUZZY,0,2,0.000,0.000,0.000
FUZZY,0,3,0.000,0.000,0.000
FUZZY,0,4,0.000,0.000,0.000
FUZZY,0,5,1.000,0.300,1.900
FUZZY,0,6,0.444,0.300,3.163
FUZZY,0,7,0.000,0.000,0.000
FUZZY,0,8,4.000,0.300,0.950
FUZZY,0,9,2.000,0.600,3.800
FUZZY,0,10,0.889,0.600,6.325
FUZZY,0,11,0.000,0.000,0.000
FUZZY,0,12,0.000,0.000,0.000
FUZZY,0,13,2.000,0.600,3.800
FUZZY,0,14,0.889,0.600,6.325
FUZZY,0,15,0.500,0.600,10.100
FUZZY,0,16,4.000,0.300,0.950
FUZZY,0,17,0.000,0.000,0.000
FUZZY,0,20,4.000,0.300,0.950
FUZZY,0,18,0.444,0.300,3.163
FUZZY,0,19,0.250,0.300,5.050
FUZZY,0,21,1.000,0.300,1.900
FUZZY,0,22,0.889,0.600,6.325
FUZZY,0,23,0.250,0.300,5.050
FUZZY,0,24,0.000,0.000,0.000
FUZZY,0,25,2.000,0.600,3.800
FUZZY,0,26,1.778,1.200,12.650
FUZZY,0,27,1.500,1.800,30.300
FUZZY,0,28,0.000,0.000,0.000
FUZZY,0,29,2.000,0.600,3.800
FUZZY,0,30,1.333,0.900,9.488
FUZZY,0,31,0.000,0.000,0.000
FUZZY,0,32,4.000,0.300,0.950
FUZZY,0,33,1.000,0.300,1.900
FUZZY,0,34,0.444,0.300,3.163
FUZZY,0,36,0.000,0.000,0.000
FUZZY,0,35,0.000,0.000,0.000
FUZZY,0,37,0.000,0.000,0.000
FUZZY,0,38,0.889,0.600,6.325
FUZZY,0,39,0.250,0.300,5.050
FUZZY,0,40,0.000,0.000,0.000
FUZZY,0,41,2.000,0.600,3.800
FUZZY,0,42,0.889,0.600,6.325
FUZZY,0,43,0.750,0.900,15.150
FUZZY,0,44,0.000,0.000,0.000
FUZZY,0,45,2.000,0.600,3.800
FUZZY,0,46,0.444,0.300,3.163
FUZZY,0,48,4.000,0.300,0.950
FUZZY,0,49,0.000,0.000,0.000
FUZZY,0,47,0.000,0.000,0.000
FUZZY,1,0,4.000,0.300,0.950
FUZZY,1,1,1.000,0.300,1.900
FUZZY,1,2,0.444,0.300,3.163
FUZZY,1,3,2.250,2.700,45.450
FUZZY,1,4,4.000,0.300,0.950
FUZZY,1,5,1.000,0.300,1.900
FUZZY,1,6,1.333,0.900,9.488
FUZZY,1,7,1.250,1.500,25.250
FUZZY,1,8,4.000,0.300,0.950
FUZZY,1,9,4.000,1.200,7.600
FUZZY,1,10,1.333,0.900,9.488
FUZZY,1,11,0.000,0.000,0.000
FUZZY,1,12,4.000,0.300,0.950
FUZZY,1,13,3.000,0.900,5.700
FUZZY,1,14,1.778,1.200,12.650
FUZZY,1,15,1.500,1.800,30.300
FUZZY,1,16,4.000,0.300,0.950
FUZZY,1,17,1.000,0.300,1.900
FUZZY,1,18,0.889,0.600,6.325
FUZZY,1,19,0.250,0.300,5.050
FUZZY,1,20,0.000,0.000,0.000
FUZZY,1,21,1.000,0.300,1.900
FUZZY,1,22,1.778,1.200,12.650
FUZZY,1,23,0.500,0.600,10.100
FUZZY,1,24,4.000,0.300,0.950
FUZZY,1,25,3.000,0.900,5.700
FUZZY,1,26,3.556,2.400,25.300
FUZZY,1,27,1.750,2.100,35.350
FUZZY,1,28,4.000,0.300,0.950
FUZZY,1,29,3.000,0.900,5.700
FUZZY,1,30,2.222,1.500,15.813
FUZZY,1,31,2.250,2.700,45.450
FUZZY,1,32,4.000,0.300,0.950
FUZZY,1,33,1.000,0.300,1.900
FUZZY,1,34,0.889,0.600,6.325
FUZZY,1,35,1.250,1.500,25.250
FUZZY,1,36,0.000,0.000,0.000
FUZZY,1,37,1.000,0.300,1.900
FUZZY,1,38,0.444,0.300,3.163
FUZZY,1,39,1.250,1.500,25.250
FUZZY,1,40,4.000,0.300,0.950
FUZZY,1,41,3.000,0.900,5.700
FUZZY,1,42,1.778,1.200,12.650
FUZZY,1,43,1.500,1.800,30.300
FUZZY,1,44,4.000,0.300,0.950
FUZZY,1,45,3.000,0.900,5.700
FUZZY,1,46,1.333,0.900,9.488
FUZZY,1,48,4.000,0.300,0.950
FUZZY,1,49,2.000,0.600,3.800
FUZZY,1,47,1.750,2.100,35.350
FUZZY,2,0,4.000,0.300,0.950
FUZZY,2,1,1.000,0.300,1.900
FUZZY,2,2,2.222,1.500,15.813
FUZZY,2,3,2.750,3.300,55.550
FUZZY,2,4,4.000,0.300,0.950
FUZZY,2,5,1.000,0.300,1.900
FUZZY,2,6,1.333,0.900,9.488
FUZZY,2,7,3.250,3.900,65.650
FUZZY,2,8,4.000,0.300,0.950
FUZZY,2,9,4.000,1.200,7.600
FUZZY,2,10,2.222,1.500,15.813
FUZZY,2,11,2.500,3.000,50.500
FUZZY,2,12,4.000,0.300,0.950
FUZZY,2,13,4.000,1.200,7.600
FUZZY,2,14,2.222,1.500,15.813
FUZZY,2,15,3.000,3.600,60.600
FUZZY,2,16,4.000,0.300,0.950
FUZZY,2,17,2.000,0.600,3.800
FUZZY,2,20,0.000,0.000,0.000
FUZZY,2,18,2.222,1.500,15.813
FUZZY,2,19,3.250,3.900,65.650
FUZZY,2,21,2.000,0.600,3.800
FUZZY,2,22,2.222,1.500,15.813
FUZZY,2,23,2.750,3.300,55.550
FUZZY,2,24,4.000,0.300,0.950
FUZZY,2,25,4.000,1.200,7.600
FUZZY,2,26,7.556,5.100,53.763
FUZZY,2,27,2.250,2.700,45.450
FUZZY,2,28,4.000,0.300,0.950
FUZZY,2,29,4.000,1.200,7.600
FUZZY,2,30,2.222,1.500,15.813
FUZZY,2,31,3.750,4.500,75.750
FUZZY,2,32,4.000,0.300,0.950
FUZZY,2,33,2.000,0.600,3.800
FUZZY,2,34,3.111,2.100,22.138
FUZZY,2,36,0.000,0.000,0.000
FUZZY,2,35,2.250,2.700,45.450
FUZZY,2,37,1.000,0.300,1.900
FUZZY,2,38,1.333,0.900,9.488
FUZZY,2,39,2.000,2.400,40.400
FUZZY,2,40,4.000,0.300,0.950
FUZZY,2,41,5.000,1.500,9.500
FUZZY,2,42,1.333,0.900,9.488
FUZZY,2,43,3.500,4.200,70.700
FUZZY,2,44,0.000,0.000,0.000
FUZZY,2,45,4.000,1.200,7.600
FUZZY,2,46,2.667,1.800,18.975
FUZZY,2,48,4.000,0.300,0.950
FUZZY,2,49,0.000,0.000,0.000
FUZZY,2,47,3.750,4.500,75.750
FUZZY,3,0,4.000,0.300,0.950
FUZZY,3,1,4.000,1.200,7.600
FUZZY,3,2,4.444,3.000,31.625
FUZZY,3,3,4.250,5.100,85.850
FUZZY,3,4,4.000,0.300,0.950
FUZZY,3,5,3.000,0.900,5.700
FUZZY,3,6,3.111,2.100,22.138
FUZZY,3,7,5.250,6.300,106.050
FUZZY,3,8,4.000,0.300,0.950
FUZZY,3,9,5.000,1.500,9.500
FUZZY,3,10,2.667,1.800,18.975
FUZZY,3,11,5.250,6.300,106.050
FUZZY,3,12,4.000,0.300,0.950
FUZZY,3,13,0.000,0.000,0.000
FUZZY,3,14,2.667,1.800,18.975
FUZZY,3,15,5.000,6.000,101.000
FUZZY,3,16,4.000,0.300,0.950
FUZZY,3,17,2.000,0.600,3.800
FUZZY,3,18,4.444,3.000,31.625
FUZZY,3,19,5.250,6.300,106.050
FUZZY,3,20,4.000,0.300,0.950
FUZZY,3,21,1.000,0.300,1.900
FUZZY,3,22,4.444,3.000,31.625
FUZZY,3,23,2.750,3.300,55.550
FUZZY,3,24,4.000,0.300,0.950
FUZZY,3,25,4.000,1.200,7.600
FUZZY,3,28,0.000,0.000,0.000
FUZZY,3,29,4.000,1.200,7.600
FUZZY,3,26,4.444,3.000,31.625
FUZZY,3,27,5.000,6.000,101.000
FUZZY,3,30,2.222,1.500,15.813
FUZZY,3,31,5.000,6.000,101.000
FUZZY,3,32,4.000,0.300,0.950
FUZZY,3,33,2.000,0.600,3.800
FUZZY,3,34,4.889,3.300,34.788
FUZZY,3,35,4.250,5.100,85.850
FUZZY,3,36,4.000,0.300,0.950
FUZZY,3,37,4.000,1.200,7.600
FUZZY,3,38,1.333,0.900,9.488
FUZZY,3,39,4.500,5.400,90.900
FUZZY,3,40,4.000,0.300,0.950
FUZZY,3,41,5.000,1.500,9.500
FUZZY,3,42,4.444,3.000,31.625
FUZZY,3,43,4.750,5.700,95.950
FUZZY,3,44,4.000,0.300,0.950
FUZZY,3,45,4.000,1.200,7.600
FUZZY,3,46,4.444,3.000,31.625
FUZZY,3,48,4.000,0.300,0.950
FUZZY,3,49,1.000,0.300,1.900
FUZZY,3,47,5.250,6.300,106.050
FUZZY,4,0,4.000,0.300,0.950
FUZZY,4,1,4.000,1.200,7.600
FUZZY,4,2,4.444,3.000,31.625
FUZZY,4,3,6.000,7.200,121.200
FUZZY,4,4,4.000,0.300,0.950
FUZZY,4,5,6.000,1.800,11.400
FUZZY,4,6,2.667,1.800,18.975
FUZZY,4,7,4.500,5.400,90.900
FUZZY,4,8,8.000,0.600,1.900
FUZZY,4,9,8.000,2.400,15.200
FUZZY,4,10,1.778,1.200,12.650
FUZZY,4,11,6.750,8.100,136.350
FUZZY,4,12,4.000,0.300,0.950
FUZZY,4,13,6.000,1.800,11.400
