Algorithm,Experiment,Tasks,Length,RT,DI,Makespan
ILBA-HB,0,2000,100,1.396,0.716,2
ILBA-HB,1,2000,200,2.668,1.27,4.887
ILBA-HB,2,2000,300,4.247,2.355,12
ILBA-HB,3,2000,400,5.965,1.211,9.997
ILBA-HB,4,2000,500,7.072,1.202,11.996
ILBA-HB,5,2000,600,8.691,1.265,14.995
ILBA-HB,6,2000,700,10.391,1.347,17.992
ILBA-HB,7,2000,800,11.925,1.216,19.999
ILBA-HB,8,2000,900,13.262,1.432,22.989
ILBA-HB,9,2000,1000,15.011,1.465,25.988
LBA-HB,0,2000,100,1.46,1.37,3
LBA-HB,1,2000,200,2.904,1.205,4.999
LBA-HB,2,2000,300,4.614,1.3,7.999
LBA-HB,3,2000,400,6.093,1.349,10.998
LBA-HB,4,2000,500,7.537,1.26,12.995
LBA-HB,5,2000,600,9.209,1.303,15.996
LBA-HB,6,2000,700,10.839,1.315,18.999
LBA-HB,7,2000,800,12.178,1.272,20.99
LBA-HB,8,2000,900,13.84,1.276,23.992
LBA-HB,9,2000,1000,15.567,1.298,26.987
HBB-LB,0,2000,100,6.36,1.415,12
HBB-LB,1,2000,200,6.36,1.415,12
HBB-LB,2,2000,300,6.36,1.415,12
HBB-LB,3,2000,400,6.36,1.415,12
HBB-LB,4,2000,500,6.36,1.415,12
HBB-LB,5,2000,600,6.36,1.415,12
HBB-LB,6,2000,700,6.36,1.415,12
HBB-LB,7,2000,800,6.36,1.415,12
HBB-LB,8,2000,900,6.36,1.415,12
HBB-LB,9,2000,1000,6.36,1.415,12
ILBA-HB,10,4000,100,2.802,0.714,4
ILBA-HB,11,4000,200,5.346,1.268,9.776
ILBA-HB,12,4000,300,8.588,2.329,23.998
ILBA-HB,13,4000,400,11.913,1.217,19.998
ILBA-HB,14,4000,500,14.502,1.172,23.998
ILBA-HB,15,4000,600,17.944,1.226,29.995
ILBA-HB,16,4000,700,20.9,1.339,35.993
ILBA-HB,17,4000,800,23.854,1.216,39.994
ILBA-HB,18,4000,900,27.072,1.235,45.99
ILBA-HB,19,4000,1000,30.521,1.261,51.988
LBA-HB,10,4000,100,2.92,1.37,5.999
